合計:
費用: 5911204
売上: 7214300

日付ごとの合計
日付,売上,費用
19000128,1171800,1452518
19000129,2192950,1631388
19000130,1796750,1322328
19000131,2052800,1504970

品目ごとの合計
品目,売上,費用
交通費,0,68704
商品A,1131000,923700
商品B,937600,998100
商品C,853800,711500
商品D,1052800,752000
商品E,1340100,1191200
商品F,1899000,1266000
合計:
費用: 5911204
売上: 7214300

日付ごとの合計
日付,売上,費用
19000128,1171800,1452518
19000129,2192950,1631388
19000130,1796750,1322328
19000131,2052800,1504970

品目ごとの合計
品目,売上,費用
交通費,0,68704
商品A,1131000,923700
商品B,937600,998100
商品C,853800,711500
商品D,1052800,752000
商品E,1340100,1191200
商品F,1899000,1266000
